				In zone	In zone	In zone	In zone	In zone	In zone	In zone	In zone	In zone	In zone	In zone	In zone
High	Trial     1	A4	0:23:00-0:24:00	60	1	60	100	12.03	4	48.12	80.2	2.97	4	11.88	19.8
High	Trial     1	A4	0:24:00-0:25:00	60	1	60	100	9.24	3	27.72	46.2	10.76	3	32.28	53.8
High	Trial     1	A4	0:25:00-0:26:00	60	1	60	100	22.16	1	22.16	36.9333	37.84	1	37.84	63.0667
High	Trial     1	A4	0:26:00-0:27:00	60	1	60	100	2.06667	3	6.2	10.3333	17.9333	3	53.8	89.6667
High	Trial     1	A4	0:27:00-0:28:00	60	1	60	100	60	1	60	100	NA	0	0	0
High	Trial     1	A4	0:28:00-0:29:00	60	1	60	100	29.98	2	59.96	99.9333	0.04	1	0.04	0.0666667
High	Trial     1	A4	0:29:00-0:30:00	60	1	60	100	17.2667	3	51.8	86.3333	4.1	2	8.2	13.6667
High	Trial     1	A4	0:30:00-0:31:00	60	1	60	100	6.07556	9	54.68	91.1333	0.665	8	5.32	8.86667
High	Trial     1	A4	0:31:00-0:32:00	60	1	60	100	2.76	14	38.64	64.4	1.52286	14	21.32	35.5333
High	Trial     1	A4	0:32:00-0:33:00	60	1	60	100	0.573333	3	1.72	2.86667	19.4267	3	58.28	97.1333
High	Trial     1	A4	0:33:00-0:34:00	60	1	60	100	7.92	6	47.52	79.2	2.08	6	12.48	20.8
High	Trial     1	A4	0:34:00-0:35:00	60	1	60	100	11.6533	3	34.96	58.2667	8.34667	3	25.04	41.7333
High	Trial     1	A4	0:35:00-0:36:00	29.94	2	59.88	99.8	0.848	10	8.48	14.1333	4.28	12	51.36	85.6
High	Trial     1	A4	0:36:00-0:37:00	60	1	60	100	5.78667	3	17.36	28.9333	14.2133	3	42.64	71.0667
High	Trial     1	A4	0:37:00-0:38:00	60	1	60	100	60	1	60	100	NA	0	0	0
High	Trial     1	A4	0:38:00-0:39:00	60	1	60	100	16.0267	3	48.08	80.1333	3.97333	3	11.92	19.8667
High	Trial     1	A4	0:39:00-0:40:00	29.96	2	59.92	99.8667	14	3	42	70	8.96	2	17.92	29.8667
High	Trial     1	A4	0:40:00-0:41:00	60	1	60	100	1.85273	22	40.76	67.9333	0.958	20	19.16	31.9333
High	Trial     1	A4	0:41:00-0:42:00	60	1	60	100	19.96	3	59.88	99.8	0.06	2	0.12	0.2
High	Trial     1	A4	0:42:00-0:43:00	60	1	60	100	8.81	4	35.24	58.7333	8.25333	3	24.76	41.2667
High	Trial     1	A4	0:43:00-0:44:00	60	1	60	100	8.424	5	42.12	70.2	4.47	4	17.88	29.8
High	Trial     1	A4	0:44:00-0:45:00	60	1	60	100	15.1733	3	45.52	75.8667	4.82667	3	14.48	24.1333
High	Trial     1	B1	Start-0:01:00	60	1	60	100	60	1	60	100	NA	0	0	0
High	Trial     1	B1	0:01:00-0:02:00	60	1	60	100	2.96	2	5.92	9.86667	27.04	2	54.08	90.1333
High	Trial     1	B1	0:02:00-0:03:00	60	1	60	100	NA	0	0	0	60	1	60	100
High	Trial     1	B1	0:03:00-0:04:00	60	1	60	100	10.38	2	20.76	34.6	19.62	2	39.24	65.4
High	Trial     1	B1	0:04:00-0:05:00	60	1	60	100	60	1	60	100	NA	0	0	0
High	Trial     1	B1	0:05:00-0:06:00	29.96	2	59.92	99.8667	29.96	2	59.92	99.8667	NA	0	0	0
High	Trial     1	B1	0:06:00-0:07:00	60	1	60	100	60	1	60	100	NA	0	0	0
High	Trial     1	B1	0:07:00-0:08:00	29.98	2	59.96	99.9333	29.98	2	59.96	99.9333	NA	0	0	0
High	Trial     1	B1	0:08:00-0:09:00	29.96	2	59.92	99.8667	29.96	2	59.92	99.8667	NA	0	0	0
High	Trial     1	B1	0:09:00-0:10:00	29.94	2	59.88	99.8	29.94	2	59.88	99.8	NA	0	0	0
High	Trial     1	B1	0:10:00-0:11:00	60	1	60	100	60	1	60	100	NA	0	0	0
High	Trial     1	B1	0:11:00-0:12:00	60	1	60	100	60	1	60	100	NA	0	0	0
High	Trial     1	B1	0:12:00-0:13:00	29.98	2	59.96	99.9333	29.98	2	59.96	99.9333	NA	0	0	0
High	Trial     1	B1	0:13:00-0:14:00	60	1	60	100	60	1	60	100	NA	0	0	0
High	Trial     1	B1	0:14:00-0:15:00	60	1	60	100	60	1	60	100	NA	0	0	0
High	Trial     1	B1	0:15:00-0:16:00	60	1	60	100	1.62714	28	45.56	75.9333	0.533333	27	14.4	24
High	Trial     1	B1	0:16:00-0:17:00	60	1	60	100	1.71091	22	37.64	62.7333	1.01636	22	22.36	37.2667
High	Trial     1	B1	0:17:00-0:18:00	60	1	60	100	1.51778	18	27.32	45.5333	1.81333	18	32.64	54.4
High	Trial     1	B1	0:18:00-0:19:00	60	1	60	100	2.145	16	34.32	57.2	1.50824	17	25.64	42.7333
High	Trial     1	B1	0:19:00-0:20:00	19.6	3	58.8	98	2.295	16	36.72	61.2	1.472	15	22.08	36.8
High	Trial     1	B1	0:20:00-0:21:00	60	1	60	100	11.48	5	57.4	95.6667	0.52	5	2.6	4.33333
High	Trial     1	B1	0:21:00-0:22:00	60	1	60	100	60	1	60	100	NA	0	0	0
High	Trial     1	B1	0:22:00-0:23:00	60	1	60	100	60	1	60	100	NA	0	0	0
High	Trial     1	B1	0:23:00-0:24:00	60	1	60	100	60	1	60	100	NA	0	0	0
High	Trial     1	B1	0:24:00-0:25:00	60	1	60	100	20.8	2	41.6	69.3333	9.2	2	18.4	30.6667
High	Trial     1	B1	0:25:00-0:26:00	60	1	60	100	1.36	1	1.36	2.26667	29.32	2	58.64	97.7333
High	Trial     1	B1	0:26:00-0:27:00	60	1	60	100	NA	0	0	0	60	1	60	100
High	Trial     1	B1	0:27:00-0:28:00	60	1	60	100	NA	0	0	0	60	1	60	100
High	Trial     1	B1	0:28:00-0:29:00	60	1	60	100	NA	0	0	0	60	1	60	100
High	Trial     1	B1	0:29:00-0:30:00	60	1	60	100	NA	0	0	0	60	1	60	100
High	Trial     1	B1	0:30:00-0:31:00	60	1	60	100	1.57692	26	41	68.3333	0.700741	27	18.92	31.5333
High	Trial     1	B1	0:31:00-0:32:00	60	1	60	100	2.76	18	49.68	82.8	0.543158	19	10.32	17.2
High	Trial     1	B1	0:32:00-0:33:00	60	1	60	100	2.85333	9	25.68	42.8	3.81333	9	34.32	57.2
High	Trial     1	B1	0:33:00-0:34:00	60	1	60	100	2.46286	14	34.48	57.4667	1.82	14	25.48	42.4667
High	Trial     1	B1	0:34:00-0:35:00	60	1	60	100	2.25231	13	29.28	48.8	2.36308	13	30.72	51.2
High	Trial     1	B1	0:35:00-0:36:00	14.85	4	59.4	99	8.456	5	42.28	70.4667	8.56	2	17.12	28.5333
High	Trial     1	B1	0:36:00-0:37:00	60	1	60	100	NA	0	0	0	60	1	60	100
High	Trial     1	B1	0:37:00-0:38:00	60	1	60	100	NA	0	0	0	60	1	60	100
High	Trial     1	B1	0:38:00-0:39:00	60	1	60	100	0.04	1	0.04	0.0666667	29.98	2	59.96	99.9333
High	Trial     1	B1	0:39:00-0:40:00	29.96	2	59.92	99.8667	NA	0	0	0	29.96	2	59.92	99.8667
High	Trial     1	B1	0:40:00-0:41:00	60	1	60	100	NA	0	0	0	60	1	60	100
High	Trial     1	B1	0:41:00-0:42:00	60	1	60	100	NA	0	0	0	60	1	60	100
High	Trial     1	B1	0:42:00-0:43:00	60	1	60	100	NA	0	0	0	60	1	60	100
High	Trial     1	B1	0:43:00-0:44:00	60	1	60	100	NA	0	0	0	60	1	60	100
High	Trial     1	B1	0:44:00-0:45:00	60	1	60	100	NA	0	0	0	60	1	60	100
High	Trial     1	C1	Start-0:01:00	54.08	1	54.08	90.1333	5.44571	7	38.12	63.5333	1.99	8	15.92	26.5333
High	Trial     1	C1	0:01:00-0:02:00	55.84	1	55.84	93.0667	5.528	5	27.64	46.0667	7.05	4	28.2	47
High	Trial     1	C1	0:02:00-0:03:00	60	1	60	100	5.32667	6	31.96	53.2667	4.67333	6	28.04	46.7333
High	Trial     1	C1	0:03:00-0:04:00	60	1	60	100	3.984	5	19.92	33.2	6.68	6	40.08	66.8
High	Trial     1	C1	0:04:00-0:05:00	60	1	60	100	13.1467	3	39.44	65.7333	6.85333	3	20.56	34.2667
High	Trial     1	C1	0:05:00-0:06:00	29.96	2	59.92	99.8667	5.06	6	30.36	50.6	7.39	4	29.56	49.2667
High	Trial     1	C1	0:06:00-0:07:00	60	1	60	100	6.93333	3	20.8	34.6667	13.0667	3	39.2	65.3333
High	Trial     1	C1	0:07:00-0:08:00	29.98	2	59.96	99.9333	32.08	1	32.08	53.4667	13.94	2	27.88	46.4667
High	Trial     1	C1	0:08:00-0:09:00	29.96	2	59.92	99.8667	14.86	2	29.72	49.5333	15.1	2	30.2	50.3333
High	Trial     1	C1	0:09:00-0:10:00	29.94	2	59.88	99.8	19.9467	3	59.84	99.7333	0.04	1	0.04	0.0666667
High	Trial     1	C1	0:10:00-0:11:00	60	1	60	100	52.76	1	52.76	87.9333	7.24	1	7.24	12.0667
High	Trial     1	C1	0:11:00-0:12:00	60	1	60	100	7.38	2	14.76	24.6	15.08	3	45.24	75.4
High	Trial     1	C1	0:12:00-0:13:00	29.98	2	59.96	99.9333	4.92	3	14.76	24.6	15.0667	3	45.2	75.3333
High	Trial     1	C1	0:13:00-0:14:00	60	1	60	100	3.676	10	36.76	61.2667	2.32	10	23.2	38.6667
High	Trial     1	C1	0:14:00-0:15:00	60	1	60	100	9.28	3	27.84	46.4	10.72	3	32.16	53.6
High	Trial     1	C1	0:15:00-0:16:00	60	1	60	100	2.46	12	29.52	49.2	2.54	12	30.48	50.8
High	Trial     1	C1	0:16:00-0:17:00	60	1	60	100	0.791111	18	14.24	23.7333	2.54222	18	45.76	76.2667
High	Trial     1	C1	0:17:00-0:18:00	29.98	2	59.96	99.9333	1.6419	21	34.48	57.4667	1.21333	21	25.48	42.4667
High	Trial     1	C1	0:18:00-0:19:00	19.7333	3	59.2	98.6667	3.53	12	42.36	70.6	1.53091	11	16.84	28.0667
High	Trial     1	C1	0:19:00-0:20:00	60	1	60	100	2.41	16	38.56	64.2667	1.34	16	21.44	35.7333
High	Trial     1	C1	0:20:00-0:21:00	60	1	60	100	1.50947	19	28.68	47.8	1.73556	18	31.24	52.0667
High	Trial     1	C1	0:21:00-0:22:00	60	1	60	100	1.85	4	7.4	12.3333	13.15	4	52.6	87.6667
High	Trial     1	C1	0:22:00-0:23:00	28.22	2	56.44	94.0667	4.50667	3	13.52	22.5333	21.46	2	42.92	71.5333
High	Trial     1	C1	0:23:00-0:24:00	60	1	60	100	10.46	2	20.92	34.8667	13.0267	3	39.08	65.1333
High	Trial     1	C1	0:24:00-0:25:00	60	1	60	100	38.96	1	38.96	64.9333	21.04	1	21.04	35.0667
High	Trial     1	C1	0:25:00-0:26:00	60	1	60	100	9.34	4	37.36	62.2667	7.54667	3	22.64	37.7333
High	Trial     1	C1	0:26:00-0:27:00	60	1	60	100	8.62	4	34.48	57.4667	8.50667	3	25.52	42.5333
High	Trial     1	C1	0:27:00-0:28:00	60	1	60	100	7.74667	3	23.24	38.7333	12.2533	3	36.76	61.2667
High	Trial     1	C1	0:28:00-0:29:00	14.29	4	57.16	95.2667	1.62154	13	21.08	35.1333	3.28	11	36.08	60.1333
High	Trial     1	C1	0:29:00-0:30:00	60	1	60	100	1.73538	13	22.56	37.6	2.88	13	37.44	62.4
High	Trial     1	C1	0:30:00-0:31:00	19.9333	3	59.8	99.6667	1.5424	25	38.56	64.2667	0.965455	22	21.24	35.4
High	Trial     1	C1	0:31:00-0:32:00	19.88	3	59.64	99.4	2.46	16	39.36	65.6	1.44857	14	20.28	33.8
High	Trial     1	C1	0:32:00-0:33:00	60	1	60	100	1.80667	24	43.36	72.2667	0.721739	23	16.6	27.6667
High	Trial     1	C1	0:33:00-0:34:00	60	1	60	100	1.95333	18	35.16	58.6	1.37778	18	24.8	41.3333
High	Trial     1	C1	0:34:00-0:35:00	60	1	60	100	1.872	20	37.44	62.4	1.128	20	22.56	37.6
High	Trial     1	C1	0:35:00-0:36:00	14.29	4	57.16	95.2667	1.27333	6	7.64	12.7333	12.38	4	49.52	82.5333
High	Trial     1	C1	0:36:00-0:37:00	17.4	3	52.2	87	3.18667	9	28.68	47.8	3.92	6	23.52	39.2
High	Trial     1	C1	0:37:00-0:38:00	60	1	60	100	3.35	8	26.8	44.6667	4.15	8	33.2	55.3333
High	Trial     1	C1	0:38:00-0:39:00	29.82	2	59.64	99.4	13.52	2	27.04	45.0667	32.6	1	32.6	54.3333
High	Trial     1	C1	0:39:00-0:40:00	29.96	2	59.92	99.8667	7.936	5	39.68	66.1333	3.37333	6	20.24	33.7333
High	Trial     1	C1	0:40:00-0:41:00	60	1	60	100	20.88	2	41.76	69.6	9.12	2	18.24	30.4
High	Trial     1	C1	0:41:00-0:42:00	60	1	60	100	4.64	3	13.92	23.2	23.04	2	46.08	76.8
High	Trial     1	C1	0:42:00-0:43:00	60	1	60	100	6.632	5	33.16	55.2667	5.368	5	26.84	44.7333
High	Trial     1	C1	0:43:00-0:44:00	60	1	60	100	4.688	5	23.44	39.0667	9.14	4	36.56	60.9333
High	Trial     1	C1	0:44:00-0:45:00	60	1	60	100	7.84	1	7.84	13.0667	52.16	1	52.16	86.9333
High	Trial     2	A2	Start-0:01:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
High	Trial     2	A2	0:01:00-0:02:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
High	Trial     2	A2	0:02:00-0:03:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
High	Trial     2	A2	0:03:00-0:04:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
High	Trial     2	A2	0:04:00-0:05:00	51.96	1	51.96	86.6	24.8	2	49.6	82.6667	2.36	1	2.36	3.93333
High	Trial     2	A2	0:05:00-0:06:00	60	1	60	100	60	1	60	100	NA	0	0	0
High	Trial     2	A2	0:06:00-0:07:00	60	1	60	100	3.21091	11	35.32	58.8667	2.24364	11	24.68	41.1333
High	Trial     2	A2	0:07:00-0:08:00	60	1	60	100	6.90667	3	20.72	34.5333	13.0933	3	39.28	65.4667
High	Trial     2	A2	0:08:00-0:09:00	60	1	60	100	60	1	60	100	NA	0	0	0
High	Trial     2	A2	0:09:00-0:10:00	60	1	60	100	15.44	2	30.88	51.4667	14.56	2	29.12	48.5333
High	Trial     2	A2	0:10:00-0:11:00	60	1	60	100	1.08	1	1.08	1.8	29.46	2	58.92	98.2
High	Trial     2	A2	0:11:00-0:12:00	60	1	60	100	7.11	4	28.44	47.4	7.89	4	31.56	52.6
High	Trial     2	A2	0:12:00-0:13:00	60	1	60	100	1.77333	3	5.32	8.86667	18.2133	3	54.64	91.0667
High	Trial     2	A2	0:13:00-0:14:00	29.98	2	59.96	99.9333	NA	0	0	0	29.98	2	59.96	99.9333
High	Trial     2	A2	0:14:00-0:15:00	60	1	60	100	1.62286	7	11.36	18.9333	6.075	8	48.6	81
High	Trial     2	A2	0:15:00-0:16:00	60	1	60	100	0.832	10	8.32	13.8667	4.69818	11	51.68	86.1333
High	Trial     2	A2	0:16:00-0:17:00	29.94	2	59.88	99.8	1.06	2	2.12	3.53333	14.44	4	57.76	96.2667
High	Trial     2	A2	0:17:00-0:18:00	60	1	60	100	14.1733	3	42.52	70.8667	4.37	4	17.48	29.1333
High	Trial     2	A2	0:18:00-0:19:00	60	1	60	100	0.326667	6	1.96	3.26667	8.28571	7	58	96.6667
High	Trial     2	A2	0:19:00-0:20:00	60	1	60	100	24.96	2	49.92	83.2	5.04	2	10.08	16.8
High	Trial     2	A2	0:20:00-0:21:00	60	1	60	100	29.22	2	58.44	97.4	1.56	1	1.56	2.6
High	Trial     2	A2	0:21:00-0:22:00	60	1	60	100	60	1	60	100	NA	0	0	0
High	Trial     2	A2	0:22:00-0:23:00	60	1	60	100	60	1	60	100	NA	0	0	0
High	Trial     2	A2	0:23:00-0:24:00	60	1	60	100	8.38	2	16.76	27.9333	21.62	2	43.24	72.0667
High	Trial     2	A2	0:24:00-0:25:00	29.94	2	59.88	99.8	0.24	1	0.24	0.4	19.88	3	59.64	99.4
High	Trial     2	A2	0:25:00-0:26:00	60	1	60	100	NA	0	0	0	60	1	60	100
High	Trial     2	A2	0:26:00-0:27:00	60	1	60	100	NA	0	0	0	60	1	60	100
High	Trial     2	A2	0:27:00-0:28:00	60	1	60	100	NA	0	0	0	60	1	60	100
High	Trial     2	A2	0:28:00-0:29:00	60	1	60	100	NA	0	0	0	60	1	60	100
High	Trial     2	A2	0:29:00-0:30:00	60	1	60	100	NA	0	0	0	60	1	60	100
High	Trial     2	A2	0:30:00-0:31:00	60	1	60	100	12.12	4	48.48	80.8	2.88	4	11.52	19.2
High	Trial     2	A2	0:31:00-0:32:00	60	1	60	100	60	1	60	100	NA	0	0	0
High	Trial     2	A2	0:32:00-0:33:00	60	1	60	100	60	1	60	100	NA	0	0	0
High	Trial     2	A2	0:33:00-0:34:00	60	1	60	100	60	1	60	100	NA	0	0	0
High	Trial     2	A2	0:34:00-0:35:00	60	1	60	100	29.98	2	59.96	99.9333	0.04	1	0.04	0.0666667
High	Trial     2	A2	0:35:00-0:36:00	60	1	60	100	29.94	2	59.88	99.8	0.12	1	0.12	0.2
High	Trial     2	A2	0:36:00-0:37:00	60	1	60	100	60	1	60	100	NA	0	0	0
High	Trial     2	A2	0:37:00-0:38:00	29.96	2	59.92	99.8667	14.9	4	59.6	99.3333	0.16	2	0.32	0.533333
High	Trial     2	A2	0:38:00-0:39:00	60	1	60	100	60	1	60	100	NA	0	0	0
High	Trial     2	A2	0:39:00-0:40:00	60	1	60	100	60	1	60	100	NA	0	0	0
High	Trial     2	A2	0:40:00-0:41:00	60	1	60	100	60	1	60	100	NA	0	0	0
High	Trial     2	A2	0:41:00-0:42:00	60	1	60	100	60	1	60	100	NA	0	0	0
High	Trial     2	A2	0:42:00-0:43:00	60	1	60	100	60	1	60	100	NA	0	0	0
High	Trial     2	A2	0:43:00-0:44:00	60	1	60	100	60	1	60	100	NA	0	0	0
High	Trial     2	A2	0:44:00-0:45:00	29.96	2	59.92	99.8667	29.96	2	59.92	99.8667	NA	0	0	0
High	Trial     2	A3	Start-0:01:00	60	1	60	100	2.57778	9	23.2	38.6667	4.08889	9	36.8	61.3333
High	Trial     2	A3	0:01:00-0:02:00	60	1	60	100	1.945	16	31.12	51.8667	1.805	16	28.88	48.1333
High	Trial     2	A3	0:02:00-0:03:00	60	1	60	100	2.416	10	24.16	40.2667	3.584	10	35.84	59.7333
High	Trial     2	A3	0:03:00-0:04:00	60	1	60	100	1.628	10	16.28	27.1333	3.97455	11	43.72	72.8667
High	Trial     2	A3	0:04:00-0:05:00	60	1	60	100	2.33143	7	16.32	27.2	6.24	7	43.68	72.8
High	Trial     2	A3	0:05:00-0:06:00	60	1	60	100	1.968	10	19.68	32.8	4.48	9	40.32	67.2
High	Trial     2	A3	0:06:00-0:07:00	60	1	60	100	4	1	4	6.66667	56	1	56	93.3333
High	Trial     2	A3	0:07:00-0:08:00	60	1	60	100	10.944	5	54.72	91.2	1.056	5	5.28	8.8
High	Trial     2	A3	0:08:00-0:09:00	60	1	60	100	8.38667	6	50.32	83.8667	1.936	5	9.68	16.1333
High	Trial     2	A3	0:09:00-0:10:00	60	1	60	100	10.296	5	51.48	85.8	2.13	4	8.52	14.2
High	Trial     2	A3	0:10:00-0:11:00	60	1	60	100	60	1	60	100	NA	0	0	0
High	Trial     2	A3	0:11:00-0:12:00	60	1	60	100	60	1	60	100	NA	0	0	0
High	Trial     2	A3	0:12:00-0:13:00	60	1	60	100	60	1	60	100	NA	0	0	0
High	Trial     2	A3	0:13:00-0:14:00	29.98	2	59.96	99.9333	9.92667	6	59.56	99.2667	0.1	4	0.4	0.666667
High	Trial     2	A3	0:14:00-0:15:00	60	1	60	100	60	1	60	100	NA	0	0	0
High	Trial     2	A3	0:15:00-0:16:00	60	1	60	100	1.82	6	10.92	18.2	8.18	6	49.08	81.8
High	Trial     2	A3	0:16:00-0:17:00	29.94	2	59.88	99.8	NA	0	0	0	29.94	2	59.88	99.8
High	Trial     2	A3	0:17:00-0:18:00	60	1	60	100	NA	0	0	0	60	1	60	100
High	Trial     2	A3	0:18:00-0:19:00	60	1	60	100	NA	0	0	0	60	1	60	100
High	Trial     2	A3	0:19:00-0:20:00	60	1	60	100	NA	0	0	0	60	1	60	100
High	Trial     2	A3	0:20:00-0:21:00	60	1	60	100	1.04	1	1.04	1.73333	29.48	2	58.96	98.2667
High	Trial     2	A3	0:21:00-0:22:00	60	1	60	100	14.56	1	14.56	24.2667	45.44	1	45.44	75.7333
High	Trial     2	A3	0:22:00-0:23:00	60	1	60	100	29.98	2	59.96	99.9333	0.04	1	0.04	0.0666667
High	Trial     2	A3	0:23:00-0:24:00	60	1	60	100	60	1	60	100	NA	0	0	0
High	Trial     2	A3	0:24:00-0:25:00	29.94	2	59.88	99.8	29.94	2	59.88	99.8	NA	0	0	0
High	Trial     2	A3	0:25:00-0:26:00	60	1	60	100	60	1	60	100	NA	0	0	0
High	Trial     2	A3	0:26:00-0:27:00	60	1	60	100	0.36	2	0.72	1.2	29.64	2	59.28	98.8
High	Trial     2	A3	0:27:00-0:28:00	60	1	60	100	NA	0	0	0	60	1	60	100
High	Trial     2	A3	0:28:00-0:29:00	60	1	60	100	NA	0	0	0	60	1	60	100
High	Trial     2	A3	0:29:00-0:30:00	60	1	60	100	30.44	1	30.44	50.7333	29.56	1	29.56	49.2667
High	Trial     2	A3	0:30:00-0:31:00	60	1	60	100	5.72	1	5.72	9.53333	54.28	1	54.28	90.4667
High	Trial     2	A3	0:31:00-0:32:00	60	1	60	100	NA	0	0	0	60	1	60	100
High	Trial     2	A3	0:32:00-0:33:00	60	1	60	100	NA	0	0	0	60	1	60	100
High	Trial     2	A3	0:33:00-0:34:00	60	1	60	100	NA	0	0	0	60	1	60	100
High	Trial     2	A3	0:34:00-0:35:00	60	1	60	100	NA	0	0	0	60	1	60	100
High	Trial     2	A3	0:35:00-0:36:00	1.48	1	1.48	2.46667	1.2	1	1.2	2	0.28	1	0.28	0.466667
High	Trial     2	A3	0:36:00-0:37:00	0.16	1	0.16	0.266667	0.16	1	0.16	0.266667	NA	0	0	0
High	Trial     2	A3	0:37:00-0:38:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
High	Trial     2	A3	0:38:00-0:39:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
High	Trial     2	A3	0:39:00-0:40:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
High	Trial     2	A3	0:40:00-0:41:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
High	Trial     2	A3	0:41:00-0:42:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
High	Trial     2	A3	0:42:00-0:43:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
High	Trial     2	A3	0:43:00-0:44:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
High	Trial     2	A3	0:44:00-0:45:00	28.8	1	28.8	48	28.8	1	28.8	48	NA	0	0	0
High	Trial     2	B3	Start-0:01:00	60	1	60	100	9.44667	6	56.68	94.4667	0.546667	6	3.28	5.46667
High	Trial     2	B3	0:01:00-0:02:00	60	1	60	100	19.9067	3	59.72	99.5333	0.14	2	0.28	0.466667
High	Trial     2	B3	0:02:00-0:03:00	60	1	60	100	6.53	4	26.12	43.5333	8.47	4	33.88	56.4667
High	Trial     2	B3	0:03:00-0:04:00	60	1	60	100	5.67	4	22.68	37.8	7.464	5	37.32	62.2
High	Trial     2	B3	0:04:00-0:05:00	60	1	60	100	9.58667	3	28.76	47.9333	10.4133	3	31.24	52.0667
High	Trial     2	B3	0:05:00-0:06:00	60	1	60	100	10.24	3	30.72	51.2	14.64	2	29.28	48.8
High	Trial     2	B3	0:06:00-0:07:00	60	1	60	100	13.9733	3	41.92	69.8667	6.02667	3	18.08	30.1333
High	Trial     2	B3	0:07:00-0:08:00	60	1	60	100	14.2	2	28.4	47.3333	15.8	2	31.6	52.6667
High	Trial     2	B3	0:08:00-0:09:00	60	1	60	100	1.7	2	3.4	5.66667	28.3	2	56.6	94.3333
High	Trial     2	B3	0:09:00-0:10:00	60	1	60	100	54.24	1	54.24	90.4	5.76	1	5.76	9.6
