					Velocity	Cruising	Cruising	Bursting	Bursting	Freezing	Freezing	Turn angle	Meander	Angular velocity	Rotation	Rotation 2
High	Trial     1	A4	0:15:00-0:16:00	In Arena	9.62923	471	22.88	21	4.52	36	18.72	73.1201	11.4657	1828	5	6
High	Trial     1	A4	0:16:00-0:17:00	In Arena	4.42001	226	9.88	6	1.04	36	41.8	104.549	20.8409	2613.73	5	6
High	Trial     1	A4	0:17:00-0:18:00	In Arena	3.7958	85	5.08	6	1.76	22	51.96	124.723	23.6528	3118.09	12	8
High	Trial     1	A4	0:18:00-0:19:00	In Arena	2.68227	64	3.16	3	0.6	21	54.64	124.232	29.9354	3105.8	5	7
High	Trial     1	A4	0:19:00-0:20:00	In Arena	4.50589	150	8.2	14	2.48	39	46.24	108.617	25.571	2715.42	9	3
High	Trial     1	A4	0:20:00-0:21:00	In Arena	2.6848	116	5.2	4	0.64	22	50.52	103.004	46.0647	2575.1	1	4
High	Trial     1	A4	0:21:00-0:22:00	In Arena	1.80879	23	1.56	3	0.64	7	57.6	111.863	42.8765	2796.58	2	3
High	Trial     1	A4	0:22:00-0:23:00	In Arena	1.80827	22	2.16	5	1.4	6	57.04	113.093	57.2799	2827.33	0	0
High	Trial     1	A4	0:23:00-0:24:00	In Arena	2.26887	44	3	3	1.32	13	55.52	112.555	46.5411	2813.86	2	2
High	Trial     1	A4	0:24:00-0:25:00	In Arena	2.40847	65	3.92	8	1.6	21	53.92	114.66	46.8842	2866.51	1	4
High	Trial     1	A4	0:25:00-0:26:00	In Arena	1.15507	16	0.8	2	0.24	4	58.64	119.111	71.3049	2977.78	0	0
High	Trial     1	A4	0:26:00-0:27:00	In Arena	1.19697	17	1.16	2	0.48	5	58.28	116.576	54.4925	2914.4	0	1
High	Trial     1	A4	0:27:00-0:28:00	In Arena	1.23378	7	0.8	2	0.6	2	58.96	118.44	48.4539	2961.01	0	0
High	Trial     1	A4	0:28:00-0:29:00	In Arena	1.46683	1	0.56	1	0.56	1	59.44	119.48	41.334	2986.99	0	1
High	Trial     1	A4	0:29:00-0:30:00	In Arena	1.60879	24	1.56	2	0.6	5	57.52	106.806	47.628	2670.14	1	1
High	Trial     1	A4	0:30:00-0:31:00	In Arena	6.40691	183	11.76	19	4.68	34	41.64	101.784	24.8877	2544.6	4	4
High	Trial     1	A4	0:31:00-0:32:00	In Arena	3.63067	143	6.96	7	1.44	39	48.24	111.751	29.8761	2793.79	5	6
High	Trial     1	A4	0:32:00-0:33:00	In Arena	3.74759	121	5.68	6	1	28	49.92	128.702	23.4862	3217.56	5	7
High	Trial     1	A4	0:33:00-0:34:00	In Arena	3.3051	102	4.64	4	0.64	25	51.8	125.242	23.7967	3131.04	5	2
High	Trial     1	A4	0:34:00-0:35:00	In Arena	3.68273	121	5.32	3	0.56	41	50.88	132.854	21.3103	3321.35	7	8
High	Trial     1	A4	0:35:00-0:36:00	In Arena	2.90862	81	3.6	5	0.44	19	53.4	110.134	33.9021	2753.35	5	3
High	Trial     1	A4	0:36:00-0:37:00	In Arena	2.1962	18	1.2	2	0.52	7	58.16	119.229	36.8433	2980.71	2	2
High	Trial     1	A4	0:37:00-0:38:00	In Arena	1.03234	8	0.56	1	0.24	3	59.2	117.361	56.6374	2934.03	1	0
High	Trial     1	A4	0:38:00-0:39:00	In Arena	2.03199	49	2.72	4	0.84	14	55.6	114.43	47.9369	2860.76	4	2
High	Trial     1	A4	0:39:00-0:40:00	In Arena	2.29426	50	3.16	5	1.24	16	55	108.36	41.8636	2708.99	1	3
High	Trial     1	A4	0:40:00-0:41:00	In Arena	1.41876	18	1.28	2	0.64	5	58	111.878	52.7142	2796.95	0	0
High	Trial     1	A4	0:41:00-0:42:00	In Arena	2.20906	72	3.88	6	1.16	12	53.52	105.599	52.77	2639.96	1	0
High	Trial     1	A4	0:42:00-0:43:00	In Arena	2.31482	40	3.12	6	1.6	9	55.44	111.565	56.208	2789.13	1	1
High	Trial     1	A4	0:43:00-0:44:00	In Arena	2.67982	69	4.12	6	1.44	13	53.32	112.762	42.1974	2819.04	1	4
High	Trial     1	A4	0:44:00-0:45:00	In Arena	2.07853	47	2.84	4	1	13	53.32	114.227	47.0101	2855.68	2	4
High	Trial     1	B1	Start-0:01:00	In Arena	3.47977	182	7.44	2	0.2	101	47.52	120.766	25.7198	3019.14	18	26
High	Trial     1	B1	0:01:00-0:02:00	In Arena	1.74118	11	0.68	1	0.28	2	58.92	113.054	32.3067	2826.35	0	3
High	Trial     1	B1	0:02:00-0:03:00	In Arena	1.42757	0	0	0	0	1	60	115.227	31.096	2880.67	0	1
High	Trial     1	B1	0:03:00-0:04:00	In Arena	1.6224	5	0.84	2	0.64	3	59	115.708	42.1395	2892.7	0	2
High	Trial     1	B1	0:04:00-0:05:00	In Arena	1.52307	0	0	0	0	1	60	122.949	34.3519	3073.72	0	0
High	Trial     1	B1	0:05:00-0:06:00	In Arena	1.71378	0	0	0	0	2	59.92	118.669	31.1119	2966.74	6	4
High	Trial     1	B1	0:06:00-0:07:00	In Arena	1.72495	0	0	0	0	1	60	119.66	32.4131	2991.5	4	8
High	Trial     1	B1	0:07:00-0:08:00	In Arena	2.46812	8	0.32	0	0	6	59.4	118.214	29.1439	2955.35	6	11
High	Trial     1	B1	0:08:00-0:09:00	In Arena	2.49732	8	0.32	0	0	9	59.52	117.697	37.2312	2942.43	16	18
High	Trial     1	B1	0:09:00-0:10:00	In Arena	2.51498	9	0.36	0	0	8	59.24	122.747	38.3655	3068.68	16	22
High	Trial     1	B1	0:10:00-0:11:00	In Arena	2.54933	6	0.24	0	0	6	59.6	120.959	37.7463	3023.97	17	13
High	Trial     1	B1	0:11:00-0:12:00	In Arena	2.36073	7	0.28	0	0	8	59.68	117.968	38.5457	2949.21	17	17
High	Trial     1	B1	0:12:00-0:13:00	In Arena	2.27039	6	0.24	0	0	7	59.68	118.462	45.138	2961.56	16	9
High	Trial     1	B1	0:13:00-0:14:00	In Arena	2.13909	6	0.24	0	0	6	59.68	120.896	45.4231	3022.41	11	10
High	Trial     1	B1	0:14:00-0:15:00	In Arena	1.42532	26	1.04	1	0.04	8	58.16	120.02	53.7975	3000.5	6	7
High	Trial     1	B1	0:15:00-0:16:00	In Arena	11.2779	428	24.32	32	7.8	60	19.68	82.7289	10.8986	2068.22	10	16
High	Trial     1	B1	0:16:00-0:17:00	In Arena	8.36824	368	19.24	34	5.32	68	27.72	96.2493	15.2141	2406.23	17	15
High	Trial     1	B1	0:17:00-0:18:00	In Arena	7.98533	384	18.56	24	3.76	61	27.12	91.4253	16.4395	2285.63	10	15
High	Trial     1	B1	0:18:00-0:19:00	In Arena	8.82852	403	20.68	28	5.04	39	23.84	80.093	20.9701	2002.32	9	7
High	Trial     1	B1	0:19:00-0:20:00	In Arena	6.83497	289	14.16	16	3	51	33.84	94.3114	22.0548	2357.78	8	12
High	Trial     1	B1	0:20:00-0:21:00	In Arena	2.9022	40	2.44	6	0.92	12	56.28	115.495	32.7632	2887.37	5	6
High	Trial     1	B1	0:21:00-0:22:00	In Arena	2.69516	2	0.08	0	0	3	59.92	120.828	26.7092	3020.7	9	7
High	Trial     1	B1	0:22:00-0:23:00	In Arena	2.64442	16	0.76	1	0.16	10	58.88	123.722	30.2447	3093.06	11	14
High	Trial     1	B1	0:23:00-0:24:00	In Arena	2.76676	53	2.12	0	0	28	56.4	119.917	26.7929	2997.94	12	22
High	Trial     1	B1	0:24:00-0:25:00	In Arena	2.47907	45	2.32	2	0.56	27	56.48	119.087	36.4182	2977.17	7	8
High	Trial     1	B1	0:25:00-0:26:00	In Arena	1.05759	8	0.64	2	0.32	3	59.08	118.926	55.5334	2973.15	0	0
High	Trial     1	B1	0:26:00-0:27:00	In Arena	0.717335	0	0	0	0	1	60	118.778	58.3461	2969.45	0	0
High	Trial     1	B1	0:27:00-0:28:00	In Arena	0.734253	0	0	0	0	1	60	119.492	52.8304	2987.3	0	0
High	Trial     1	B1	0:28:00-0:29:00	In Arena	0.734563	0	0	0	0	1	60	121.227	56.8263	3030.68	0	0
High	Trial     1	B1	0:29:00-0:30:00	In Arena	0.74794	0	0	0	0	1	60	123.155	57.0323	3078.87	0	0
High	Trial     1	B1	0:30:00-0:31:00	In Arena	9.23658	354	20	29	6.48	54	26.88	91.4893	16.8545	2287.23	14	12
High	Trial     1	B1	0:31:00-0:32:00	In Arena	6.38974	284	14.04	18	3.08	31	35.12	93.8727	21.6404	2346.82	6	9
High	Trial     1	B1	0:32:00-0:33:00	In Arena	6.73594	348	16.32	24	2.96	48	30.68	90.2162	21.3809	2255.4	14	5
High	Trial     1	B1	0:33:00-0:34:00	In Arena	8.15614	355	18.76	25	5.08	56	28.56	86.5242	15.9436	2163.1	7	16
High	Trial     1	B1	0:34:00-0:35:00	In Arena	5.26659	191	10.28	17	2.88	33	42.8	104.484	30.5297	2612.1	9	6
High	Trial     1	B1	0:35:00-0:36:00	In Arena	2.6846	42	3.12	8	1.68	12	54.88	115.979	34.2861	2899.47	3	4
High	Trial     1	B1	0:36:00-0:37:00	In Arena	1.34789	0	0	0	0	1	60	121.934	48.657	3048.34	2	3
High	Trial     1	B1	0:37:00-0:38:00	In Arena	0.927902	0	0	0	0	1	60	121.668	54.5705	3041.71	1	2
High	Trial     1	B1	0:38:00-0:39:00	In Arena	0.995005	7	0.36	1	0.08	1	7.68	119.637	63.8353	2990.93	0	4
High	Trial     1	B1	0:39:00-0:40:00	In Arena	0.783302	0	0	0	0	0	0	119.26	61.3849	2981.5	0	0
High	Trial     1	B1	0:40:00-0:41:00	In Arena	0.784605	0	0	0	0	0	0	119.293	60.9247	2982.31	0	0
High	Trial     1	B1	0:41:00-0:42:00	In Arena	0.761176	0	0	0	0	0	0	118.03	60.8857	2950.74	0	1
High	Trial     1	B1	0:42:00-0:43:00	In Arena	0.753289	0	0	0	0	0	0	119.51	65.4021	2987.75	0	0
High	Trial     1	B1	0:43:00-0:44:00	In Arena	0.871355	0	0	0	0	0	0	119.713	60.3275	2992.84	0	0
High	Trial     1	B1	0:44:00-0:45:00	In Arena	0.789161	0	0	0	0	0	0	117.99	60.3855	2949.74	0	0
High	Trial     1	C1	Start-0:01:00	In Arena	2.41404	39	1.96	3	0.48	16	50.68	117.243	35.3129	2931.07	5	5
High	Trial     1	C1	0:01:00-0:02:00	In Arena	2.58867	56	3.72	9	1.64	16	50.32	112.96	51.4923	2823.99	2	1
High	Trial     1	C1	0:02:00-0:03:00	In Arena	2.27419	39	2.92	6	1.44	9	55.64	111.594	51.0121	2789.84	3	1
High	Trial     1	C1	0:03:00-0:04:00	In Arena	2.112	42	2.92	10	1.48	12	55.68	111.082	53.1075	2777.05	3	1
High	Trial     1	C1	0:04:00-0:05:00	In Arena	1.96678	48	3.08	9	1.48	12	55.32	106.534	52.8785	2663.35	1	1
High	Trial     1	C1	0:05:00-0:06:00	In Arena	2.494	81	4.44	8	1.44	19	52.56	111.688	47.6456	2792.21	4	5
High	Trial     1	C1	0:06:00-0:07:00	In Arena	2.09773	38	2.88	6	1.48	13	55.76	114.373	57.2602	2859.32	0	4
High	Trial     1	C1	0:07:00-0:08:00	In Arena	1.40168	38	1.76	1	0.24	11	56.84	116.425	59.5031	2910.63	1	2
High	Trial     1	C1	0:08:00-0:09:00	In Arena	1.29234	18	1.36	3	0.72	7	58	118.406	57.9532	2960.15	0	1
High	Trial     1	C1	0:09:00-0:10:00	In Arena	2.12772	58	3.28	6	1.08	13	54.6	114.208	50.8935	2855.19	3	2
High	Trial     1	C1	0:10:00-0:11:00	In Arena	1.33253	24	1.64	3	0.68	6	57.52	113.032	56.3356	2825.8	2	1
High	Trial     1	C1	0:11:00-0:12:00	In Arena	1.66883	31	2.28	5	1.12	8	56.56	119.641	64.9045	2991.03	2	0
High	Trial     1	C1	0:12:00-0:13:00	In Arena	2.47937	55	4.2	8	2.16	15	53.8	112.139	58.4863	2803.46	0	2
High	Trial     1	C1	0:13:00-0:14:00	In Arena	1.2462	13	1.08	3	0.64	6	58.48	119.378	62.0566	2984.46	0	1
High	Trial     1	C1	0:14:00-0:15:00	In Arena	1.49995	20	1.72	4	1	5	57.6	117.326	65.4582	2933.16	2	0
High	Trial     1	C1	0:15:00-0:16:00	In Arena	8.87615	463	21.96	20	3.96	64	21.12	84.154	14.5471	2103.85	4	6
High	Trial     1	C1	0:16:00-0:17:00	In Arena	7.04464	414	18.52	12	2.32	68	26.48	90.3455	15.7004	2258.64	9	14
High	Trial     1	C1	0:17:00-0:18:00	In Arena	7.03552	324	15.96	14	3.36	74	32.68	91.7847	17.1974	2294.62	10	14
High	Trial     1	C1	0:18:00-0:19:00	In Arena	5.77492	360	15.44	9	1.2	68	30.88	87.0096	18.5112	2175.24	9	5
High	Trial     1	C1	0:19:00-0:20:00	In Arena	5.95151	325	15	10	2.28	71	33.6	91.8875	22.0633	2297.19	6	13
High	Trial     1	C1	0:20:00-0:21:00	In Arena	4.02257	196	8.36	3	0.56	44	44.48	100.434	32.1733	2510.85	4	9
High	Trial     1	C1	0:21:00-0:22:00	In Arena	2.11939	62	3.24	5	0.92	16	54.52	109.402	56.5823	2735.05	1	1
High	Trial     1	C1	0:22:00-0:23:00	In Arena	1.72239	27	1.96	5	0.96	10	53.48	113.554	60.0176	2838.86	2	1
High	Trial     1	C1	0:23:00-0:24:00	In Arena	2.42959	107	4.76	4	0.64	45	52	114.495	45.7544	2862.39	18	16
High	Trial     1	C1	0:24:00-0:25:00	In Arena	1.34972	12	1.04	3	0.6	4	58.52	119.553	53.4625	2988.83	1	0
High	Trial     1	C1	0:25:00-0:26:00	In Arena	1.74979	28	1.84	5	0.88	9	57.2	115.611	47.0374	2890.29	1	0
High	Trial     1	C1	0:26:00-0:27:00	In Arena	1.58102	21	1.52	4	0.8	7	57.68	117.254	54.2862	2931.34	3	1
High	Trial     1	C1	0:27:00-0:28:00	In Arena	1.32244	20	1.28	4	0.64	5	57.96	112.579	63.1923	2814.48	1	0
High	Trial     1	C1	0:28:00-0:29:00	In Arena	2.21621	50	3.08	8	1.4	18	52.48	114.419	51.3053	2860.48	1	5
High	Trial     1	C1	0:29:00-0:30:00	In Arena	1.12717	22	1.44	2	0.56	7	57.88	117.82	65.4881	2945.5	2	0
High	Trial     1	C1	0:30:00-0:31:00	In Arena	7.68558	434	20.2	17	3	74	23.8	88.3388	13.2306	2208.47	9	9
High	Trial     1	C1	0:31:00-0:32:00	In Arena	6.42146	374	16.88	10	1.96	55	29.16	95.3976	19.5702	2384.94	14	7
High	Trial     1	C1	0:32:00-0:33:00	In Arena	8.0362	434	20.32	18	3.56	59	23.44	76.8081	12.1099	1920.2	6	4
High	Trial     1	C1	0:33:00-0:34:00	In Arena	8.95255	506	23.2	19	3.48	67	18.24	71.7589	8.5038	1793.97	9	12
High	Trial     1	C1	0:34:00-0:35:00	In Arena	8.41502	405	19.84	21	4.04	49	25.04	82.1812	12.5597	2054.53	9	9
High	Trial     1	C1	0:35:00-0:36:00	In Arena	3.6029	152	6.68	6	0.72	38	45.12	105.944	36.1038	2648.59	6	9
High	Trial     1	C1	0:36:00-0:37:00	In Arena	2.53483	66	3.64	5	1.04	16	46.12	111.649	46.3216	2791.22	1	5
High	Trial     1	C1	0:37:00-0:38:00	In Arena	2.6082	69	3.52	5	0.84	22	54.12	115.586	48.7038	2889.65	4	7
High	Trial     1	C1	0:38:00-0:39:00	In Arena	2.00331	62	3	5	0.64	18	54.44	116.802	50.9696	2920.05	2	3
High	Trial     1	C1	0:39:00-0:40:00	In Arena	2.18619	45	2.92	8	1.28	13	55.36	112.854	50.0674	2821.36	2	4
High	Trial     1	C1	0:40:00-0:41:00	In Arena	1.64963	25	1.96	5	1.08	8	57.24	116.654	57.2461	2916.35	1	0
High	Trial     1	C1	0:41:00-0:42:00	In Arena	1.69686	22	1.76	5	1	7	57.4	114.326	54.6231	2858.14	1	1
High	Trial     1	C1	0:42:00-0:43:00	In Arena	1.68952	29	2.24	7	1.24	9	56.64	112.787	59.4148	2819.69	1	0
High	Trial     1	C1	0:43:00-0:44:00	In Arena	1.77049	44	2.48	7	0.88	10	55.92	110.603	50.3489	2765.09	2	1
High	Trial     1	C1	0:44:00-0:45:00	In Arena	1.3605	24	1.6	6	0.8	5	56.32	114.956	60.2459	2873.89	0	0
High	Trial     2	A2	0:04:00-0:05:00	In Arena	2.40294	63	2.72	2	0.24	9	46.92	115.947	30.818	2898.68	1	1
High	Trial     2	A2	0:05:00-0:06:00	In Arena	1.24068	1	0.04	0	0	2	59.96	121.203	38.7874	3030.07	1	0
High	Trial     2	A2	0:06:00-0:07:00	In Arena	3.62595	163	7.56	6	1.08	22	46.32	94.5072	26.2974	2362.68	5	4
High	Trial     2	A2	0:07:00-0:08:00	In Arena	4.19404	212	9.44	7	1.08	48	43.32	100.146	21.476	2503.65	14	12
High	Trial     2	A2	0:08:00-0:09:00	In Arena	2.41115	18	0.72	0	0	14	58.92	120.181	26.1741	3004.53	4	1
High	Trial     2	A2	0:09:00-0:10:00	In Arena	2.81808	55	2.36	1	0.2	16	55.72	111.458	24.3147	2786.44	8	5
High	Trial     2	A2	0:10:00-0:11:00	In Arena	3.43353	154	6.44	2	0.32	53	48.84	106.512	22.4025	2662.8	19	13
High	Trial     2	A2	0:11:00-0:12:00	In Arena	5.56482	252	12.56	14	2.72	46	38.4	100.992	24.8607	2524.8	10	17
High	Trial     2	A2	0:12:00-0:13:00	In Arena	2.96501	95	4.08	4	0.44	22	52.64	105.37	29.0762	2634.26	9	8
High	Trial     2	A2	0:13:00-0:14:00	In Arena	3.5147	152	6.48	5	0.56	52	48.44	109.519	27.6785	2737.97	20	18
High	Trial     2	A2	0:14:00-0:15:00	In Arena	5.72119	276	12.44	8	1.64	62	37.92	94.317	13.9647	2357.93	19	20
High	Trial     2	A2	0:15:00-0:16:00	In Arena	4.11041	207	10.2	12	2.2	35	42.36	97.1388	38.1057	2428.47	7	11
High	Trial     2	A2	0:16:00-0:17:00	In Arena	1.27873	32	1.64	2	0.4	7	57	116.442	57.3682	2911.04	0	3
High	Trial     2	A2	0:17:00-0:18:00	In Arena	1.30562	20	1.32	4	0.6	3	57.92	114.704	64.1584	2867.61	0	1
High	Trial     2	A2	0:18:00-0:19:00	In Arena	1.26939	32	1.72	3	0.48	6	57.04	116.368	71.5679	2909.2	1	1
High	Trial     2	A2	0:19:00-0:20:00	In Arena	1.0096	17	0.92	3	0.32	4	58.44	117.417	66.8494	2935.43	2	0
High	Trial     2	A2	0:20:00-0:21:00	In Arena	0.881862	9	0.56	1	0.24	3	59.16	119.49	62.429	2987.24	1	0
High	Trial     2	A2	0:21:00-0:22:00	In Arena	0.532398	0	0	0	0	1	60	125.166	70.8403	3129.16	0	0
High	Trial     2	A2	0:22:00-0:23:00	In Arena	0.480501	0	0	0	0	1	60	122.318	72.3783	3057.95	0	0
High	Trial     2	A2	0:23:00-0:24:00	In Arena	0.870778	8	0.56	1	0.24	2	59.16	118.038	60.7241	2950.94	1	0
High	Trial     2	A2	0:24:00-0:25:00	In Arena	0.926038	10	0.6	1	0.24	3	58.92	117.921	69.5395	2948.03	0	0
High	Trial     2	A2	0:25:00-0:26:00	In Arena	0.559057	0	0	0	0	1	60	119.533	75.7665	2988.33	0	0
High	Trial     2	A2	0:26:00-0:27:00	In Arena	0.519892	0	0	0	0	1	60	121.328	81.8571	3033.19	0	0
High	Trial     2	A2	0:27:00-0:28:00	In Arena	0.511149	0	0	0	0	1	60	120.712	79.2472	3017.8	0	0
High	Trial     2	A2	0:28:00-0:29:00	In Arena	0.512517	0	0	0	0	1	60	122.166	80.4071	3054.14	0	0
High	Trial     2	A2	0:29:00-0:30:00	In Arena	0.522898	0	0	0	0	1	60	122.236	83.281	3055.89	0	0
High	Trial     2	A2	0:30:00-0:31:00	In Arena	1.33397	32	1.76	3	0.48	6	57.12	115.004	56.4029	2875.1	1	0
High	Trial     2	A2	0:31:00-0:32:00	In Arena	0.699515	0	0	0	0	1	60	118.213	56.9263	2955.34	0	0
High	Trial     2	A2	0:32:00-0:33:00	In Arena	0.75735	0	0	0	0	1	60	120.086	58.8742	3002.15	0	0
High	Trial     2	A2	0:33:00-0:34:00	In Arena	0.788639	0	0	0	0	1	60	117.486	61.2902	2937.14	0	0
High	Trial     2	A2	0:34:00-0:35:00	In Arena	1.04245	4	0.4	1	0.24	3	59.44	118.346	49.9934	2958.64	0	1
High	Trial     2	A2	0:35:00-0:36:00	In Arena	1.30028	8	0.68	2	0.36	4	59.08	118.361	47.2997	2959.03	1	1
High	Trial     2	A2	0:36:00-0:37:00	In Arena	0.85817	0	0	0	0	1	60	118.591	49.0261	2964.78	0	0
High	Trial     2	A2	0:37:00-0:38:00	In Arena	0.798581	8	0.32	1	0.04	4	59.36	121.045	59.1066	3026.14	0	1
High	Trial     2	A2	0:38:00-0:39:00	In Arena	0.881906	6	0.44	1	0.2	3	59.32	121.598	55.0702	3039.95	0	1
High	Trial     2	A2	0:39:00-0:40:00	In Arena	0.727935	0	0	0	0	1	60	121.112	57.2226	3027.81	0	0
High	Trial     2	A2	0:40:00-0:41:00	In Arena	0.734758	0	0	0	0	1	60	121.115	57.3051	3027.87	0	0
High	Trial     2	A2	0:41:00-0:42:00	In Arena	0.779578	3	0.12	0	0	1	53.04	121.186	59.2896	3029.65	1	0
High	Trial     2	A2	0:42:00-0:43:00	In Arena	0.610668	0	0	0	0	0	0	121.808	65.7024	3045.19	0	0
High	Trial     2	A2	0:43:00-0:44:00	In Arena	0.627507	0	0	0	0	0	0	121.077	59.606	3026.92	0	0
High	Trial     2	A2	0:44:00-0:45:00	In Arena	0.630177	0	0	0	0	0	0	121.402	60.8537	3035.04	0	0
High	Trial     2	A3	Start-0:01:00	In Arena	4.95682	234	10.16	8	0.92	49	41.32	97.4321	16.6716	2435.8	14	13
High	Trial     2	A3	0:01:00-0:02:00	In Arena	5.58517	298	12.76	7	1.08	60	36.64	93.8193	11.8718	2345.48	10	15
High	Trial     2	A3	0:02:00-0:03:00	In Arena	6.90201	325	14.88	19	2.44	48	33.28	87.8385	13.934	2195.96	14	20
High	Trial     2	A3	0:03:00-0:04:00	In Arena	4.3034	203	8.72	6	0.72	36	43.92	97.136	18.7534	2428.4	6	13
High	Trial     2	A3	0:04:00-0:05:00	In Arena	4.63002	210	9.16	5	0.88	37	43.12	99.5075	17.3353	2487.69	15	11
High	Trial     2	A3	0:05:00-0:06:00	In Arena	3.84012	136	6.52	7	1.24	28	48.56	106.369	31.7067	2659.24	12	10
High	Trial     2	A3	0:06:00-0:07:00	In Arena	2.6388	58	3.36	5	1.12	19	54.8	110.67	34.3975	2766.76	4	9
High	Trial     2	A3	0:07:00-0:08:00	In Arena	2.75573	124	5.68	5	0.76	17	49.84	113.504	43.9121	2837.59	4	3
High	Trial     2	A3	0:08:00-0:09:00	In Arena	3.25944	128	6.08	7	1.08	20	49.12	103.859	39.1477	2596.48	5	2
High	Trial     2	A3	0:09:00-0:10:00	In Arena	1.59748	30	1.96	4	0.88	5	56.96	117.623	53.3928	2940.59	2	2
High	Trial     2	A3	0:10:00-0:11:00	In Arena	0.692211	0	0	0	0	1	60	122.378	64.167	3059.45	0	0
High	Trial     2	A3	0:11:00-0:12:00	In Arena	0.670273	0	0	0	0	1	60	122.329	63.0631	3058.21	0	0
High	Trial     2	A3	0:12:00-0:13:00	In Arena	0.66787	0	0	0	0	1	60	122.504	64.6167	3062.61	0	0
High	Trial     2	A3	0:13:00-0:14:00	In Arena	1.47718	43	2.16	4	0.56	9	56.32	118.092	58.5685	2952.31	4	1
High	Trial     2	A3	0:14:00-0:15:00	In Arena	0.459291	0	0	0	0	1	60	125.744	80.1111	3143.61	0	0
High	Trial     2	A3	0:15:00-0:16:00	In Arena	1.79586	80	3.8	4	0.68	18	53.4	111.795	60.6878	2794.87	1	2
High	Trial     2	A3	0:16:00-0:17:00	In Arena	0.705327	0	0	0	0	2	59.88	122.191	60.9984	3054.77	0	0
High	Trial     2	A3	0:17:00-0:18:00	In Arena	0.752605	0	0	0	0	1	60	120.43	59.8639	3010.74	0	0
High	Trial     2	A3	0:18:00-0:19:00	In Arena	0.805729	0	0	0	0	1	60	117.573	52.6851	2939.32	0	0
High	Trial     2	A3	0:19:00-0:20:00	In Arena	0.864097	0	0	0	0	1	60	119.816	50.5733	2995.41	0	0
High	Trial     2	A3	0:20:00-0:21:00	In Arena	1.51401	27	1.84	3	0.88	6	57.2	118.173	60.0975	2954.33	1	0
High	Trial     2	A3	0:21:00-0:22:00	In Arena	0.903945	14	0.72	1	0.16	6	58.8	118.855	64.5334	2971.36	0	0
High	Trial     2	A3	0:22:00-0:23:00	In Arena	1.19309	18	1	2	0.36	6	58.36	115.644	50.2153	2891.11	0	2
High	Trial     2	A3	0:23:00-0:24:00	In Arena	1.48616	35	1.4	0	0	13	57.44	121.8	45.5445	3044.99	7	4
High	Trial     2	A3	0:24:00-0:25:00	In Arena	1.93741	0	0	0	0	2	59.88	121.332	26.9528	3033.29	1	2
High	Trial     2	A3	0:25:00-0:26:00	In Arena	1.01749	9	0.56	1	0.2	3	59.08	119.698	58.4516	2992.44	1	1
